current_url,type,status,title,clicks,impressions,ctr,position,topic_cluster,priority,recommended_action,proposed_next_url,redirect_required,notes
https://dralirezasadighi.com/elementor-6252/,post,publish,انواع روش های افزایش حجم گونه,0,21,0.0,13.52,facial-cosmetic-surgery,P0,redirect-to-service-page,/fa/services/facial-cosmetic-surgery,yes,High-value but short/duplicative content — fold into /fa/services/facial-cosmetic-surgery rather than a thin standalone page.
https://dralirezasadighi.com/ایمپلنت-ساب-پریوستئال-دیجیتال/,post,publish,ایمپلنت ساب پریوستئال دیجیتال,3,115,0.0261,32.38,advanced-dental-implant,P0,redirect-to-service-page,/fa/services/advanced-dental-implant,yes,High-value but short/duplicative content — fold into /fa/services/advanced-dental-implant rather than a thin standalone page.
https://dralirezasadighi.com/توضیحاتی-در-مورد-ایمپلنت-دیجیتال/,post,publish,توضیحاتی در مورد ایمپلنت دیجیتال,0,8,0.0,4.75,advanced-dental-implant,P1,merge-into-service-page,/fa/services/advanced-dental-implant,yes,Supporting content for advanced-dental-implant — merge into /fa/services/advanced-dental-implant; redirect only because this URL carries some traffic.
https://dralirezasadighi.com/جراحی-فک-به-روش-دیجیتال/,post,publish,جراحی فک به روش دیجیتال,5,226,0.0221,34.8,orthognathic-surgery,P1,merge-into-service-page,/fa/services/orthognathic-surgery,yes,Supporting content for orthognathic-surgery — merge into /fa/services/orthognathic-surgery; redirect only because this URL carries some traffic.
https://dralirezasadighi.com/انواع-روش-های-جراحی-چانه/,post,publish,انواع روش های جراحی چانه,1,1239,0.0008,46.98,orthognathic-surgery,P0,redirect-to-service-page,/fa/services/orthognathic-surgery,yes,High-value but short/duplicative content — fold into /fa/services/orthognathic-surgery rather than a thin standalone page.
https://dralirezasadighi.com/?p=6511,post,draft,نحوه استراحت بعد از جراحی پلک,0,0,0.0,0.0,blepharoplasty,P3,do-not-migrate,,no,"No content, no Elementor data, no Aparat embed, and zero Search Console signal — safe to leave out."
https://dralirezasadighi.com/استفاده-از-تکنولوژی-دیجیتال-در-جراحی-ف/,post,publish,استفاده از تکنولوژی دیجیتال در جراحی فک,0,94,0.0,6.0,orthognathic-surgery,P1,merge-into-service-page,/fa/services/orthognathic-surgery,yes,Supporting content for orthognathic-surgery — merge into /fa/services/orthognathic-surgery; redirect only because this URL carries some traffic.
https://dralirezasadighi.com/رینوپلاستی-بینی-گوشتی/,post,publish,رینوپلاستی بینی گوشتی,0,10,0.0,10.0,rhinoplasty,P1,merge-into-service-page,/fa/services/rhinoplasty,yes,Supporting content for rhinoplasty — merge into /fa/services/rhinoplasty; redirect only because this URL carries some traffic.
https://dralirezasadighi.com/بلفاروپلاستی/,post,publish,بلفاروپلاستی,17,9481,0.0018,8.18,blepharoplasty,P0,needs-manual-review,/fa/knowledge/بلفاروپلاستی,yes,"DATA ISSUE: 2 WordPress posts (post_ids 7168, 7212) share this exact live URL — WordPress can only serve one of them. Resolve which post is canonical before deciding a migration target. Substantial standalone article on core topic (blepharoplasty); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/facial-cosmetic-surgery."
https://dralirezasadighi.com/رینوپلاستی-چیست؟/,post,publish,رینوپلاستی چیست؟,9,515,0.0175,47.05,rhinoplasty,P0,migrate-to-knowledge-center,/fa/knowledge/رینوپلاستی-چیست؟,yes,Substantial standalone article on core topic (rhinoplasty); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/rhinoplasty.
https://dralirezasadighi.com/آشنایی-با-انواع-عمل-جراحی-زیبایی-صورت/,post,publish,آشنایی با انواع عمل جراحی زیبایی صورت,9,2287,0.0039,57.22,facial-cosmetic-surgery,P0,migrate-to-knowledge-center,/fa/knowledge/آشنایی-با-انواع-عمل-جراحی-زیبایی-صورت,yes,Substantial standalone article on core topic (facial-cosmetic-surgery); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/facial-cosmetic-surgery.
https://dralirezasadighi.com/شکاف-لب-و-کام-چیست؟/,post,publish,شکاف لب و کام چیست؟,0,205,0.0,27.91,uncategorized,P1,needs-manual-review,,yes,Traffic present but topic unclear from title/categories/slug — classify manually before deciding redirect target.
https://dralirezasadighi.com/مراقبت-بینی/,post,publish,مراقبت های قبل و بعد از جراحی بینی,0,0,0.0,0.0,rhinoplasty,P0,migrate-to-knowledge-center,/fa/knowledge/مراقبت-بینی,yes,Substantial standalone article on core topic (rhinoplasty); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/rhinoplasty.
