final_slug,title_en,title_fa,primary_post_id,consolidated_post_count,topic_cluster,service_relation,review_status,media_status,en_translation,content_sections,faq_items,legacy_source_urls
جراحی-فک-دیجیتال,Digital Jaw Surgery / CAS Technology,جراحی فک دیجیتال: تحول نوین در دقت و نتایج جراحی‌های فک و صورت,14003,4,orthognathic-surgery,orthognathic-surgery,needs-doctor-review,missing,no,12,0,/جراحی-فک-دیجیتال | /جراحی-دیجیتال-فک | /جراحی-فک-به-روش-دیجیتال | /cas-چیست-و-کاربرد-های-آن
ناقرینگیهای-ناشی-از-تروما-به-صورت-عل,Facial Asymmetry Due to Trauma,ناقرینگی‌های ناشی از تروما به صورت: علل، تشخیص و درمان,13707,4,facial-trauma-surgery,facial-trauma-surgery,needs-doctor-review,missing,yes,13,0,/ناقرینگیهای-ناشی-از-تروما-به-صورت-عل | /جراحی-ناقرینگیهای-صورت-رویکردها-و-م | /درمان-غیر-قرینگی-صورت-راهکارها،-نقش-اس | /جراحی-بازسازی-نواقص-صورت-بازگرداندن
فک-پایین-عقبرفته,Recessed Lower Jaw / Retrognathia,فک پایین عقب‌رفته چیست؟ دلایل، علائم و اهمیت درمان آن,13957,1,orthognathic-surgery,orthognathic-surgery,needs-doctor-review,missing,yes,15,0,/فک-پایین-عقبرفته
جراحی-جلوآمدگی-فک-پایین-2,Protruding Lower Jaw / Prognathism,جراحی جلوآمدگی فک پایین | درمان جلو بودن فک پایین و اصلاح ناهنجاری فک + عکس قبل و بعد,14707,2,orthognathic-surgery,orthognathic-surgery,needs-doctor-review,missing,no,15,0,/جراحی-جلوآمدگی-فک-پایین-2 | /جراحی-جلوآمدگی-فک-پایین
راهنمای-جامع-ایمپلنت-دندان-در-تبریز,Comprehensive Dental Implant Guide in Tabriz,راهنمای جامع ایمپلنت دندان در تبریز,8441,2,advanced-dental-implant,advanced-dental-implant,needs-doctor-review,missing,no,40,0,/راهنمای-جامع-ایمپلنت-دندان-در-تبریز | /راهنمای-جامع-ایمپلنت-دندان-در-تبریز-2
25-سوال-متداول-در-مورد-جراحی-لیفت-صورت-که,25 FAQ — Facial Lift,25 سوال متداول در مورد جراحی لیفت صورت,8381,1,facial-cosmetic-surgery,facial-cosmetic-surgery,needs-doctor-review,missing,no,0,25,/25-سوال-متداول-در-مورد-جراحی-لیفت-صورت-که
تزریق-بوتاکس-برای-از-بین-بردن-دندان-قرو,Botox for Bruxism,تزریق بوتاکس برای از بین بردن دندان قروچه راهکاری نوین و مؤثر,8573,1,facial-cosmetic-surgery,facial-cosmetic-surgery,needs-doctor-review,missing,no,6,0,/تزریق-بوتاکس-برای-از-بین-بردن-دندان-قرو
انواع-تزریق-چربی-میکروفت،-نانوفت-و-سای,Fat Injection Types,انواع تزریق چربی: میکروفت، نانوفت و سایرین,8566,1,facial-cosmetic-surgery,facial-cosmetic-surgery,needs-doctor-review,missing,no,18,0,/انواع-تزریق-چربی-میکروفت،-نانوفت-و-سای
جراحی-چانه-پروتز-فیلر-جینیوپلاستی,Chin Surgery / Chin Implant Options,جراحی چانه: بررسی علمی روش‌های اصلاح فرم چانه با پروتز، جینیوپلاستی و فیلر + مزایا، معایب و هزینه‌ها,13926,1,facial-cosmetic-surgery,facial-cosmetic-surgery,needs-doctor-review,missing,no,11,0,/جراحی-چانه-پروتز-فیلر-جینیوپلاستی
جراحی-فک-خطرناک,Is Jaw Surgery Dangerous?,آیا جراحی فک خطرناک است؟ بررسی علمی عوارض، مزایا و نکات مهم پیش از عمل,13992,1,orthognathic-surgery,orthognathic-surgery,needs-doctor-review,missing,no,9,0,/جراحی-فک-خطرناک
بیماری-کندیلار-هایپرپلاژیا-علل،-تشخی,Condylar Hyperplasia,بیماری کندیلار هایپرپلاژیا: علل، تشخیص و درمان,13705,1,orthognathic-surgery,orthognathic-surgery,needs-doctor-review,missing,no,13,0,/بیماری-کندیلار-هایپرپلاژیا-علل،-تشخی
سینوس-لیفت-و-ایمپلنت-دندان,Sinus Lift and Dental Implant,سینوس لیفت تخصصی و کاشت ایمپلنت دندان با بهترین تکنیک‌های روز دنیا در کلینیک دکتر صدیقی – تهران و تبریز,13922,1,advanced-dental-implant,advanced-dental-implant,needs-doctor-review,missing,no,11,0,/سینوس-لیفت-و-ایمپلنت-دندان
جراحی-فک-کم-تهاجمی,Minimally Invasive Jaw Surgery,جراحی فک کم تهاجمی: درمانی نوین با حداقل درد و دوران نقاهت کوتاه,14043,1,orthognathic-surgery,orthognathic-surgery,needs-doctor-review,missing,no,17,0,/جراحی-فک-کم-تهاجمی
مقایسه-ایمپلنت-و-دندان-طبیعی-بررسی-تفا,Implant vs Natural Tooth,مقایسه ایمپلنت و دندان طبیعی: بررسی تفاوت‌ها در ساختار، عملکرد و طول عمر,13745,1,advanced-dental-implant,advanced-dental-implant,needs-doctor-review,missing,no,15,0,/مقایسه-ایمپلنت-و-دندان-طبیعی-بررسی-تفا
جراحی-فک-ارتوگناتیک-مراحل-و-روند-درما,Orthognathic Jaw Surgery: Stages and Process,جراحی فک (ارتوگناتیک): مراحل و روند درمان,13741,1,orthognathic-surgery,orthognathic-surgery,needs-doctor-review,missing,no,14,0,/جراحی-فک-ارتوگناتیک-مراحل-و-روند-درما
