legacy_path,current_target,category,reason
/جراحی-دیجیتال-فک,/knowledge/جراحی-فک-دیجیتال,batch-2-consolidation-duplicate,consolidated into Digital Jaw Surgery / CAS Technology
/جراحی-فک-به-روش-دیجیتال,/knowledge/جراحی-فک-دیجیتال,batch-2-consolidation-duplicate,consolidated into Digital Jaw Surgery / CAS Technology
/cas-چیست-و-کاربرد-های-آن,/knowledge/جراحی-فک-دیجیتال,batch-2-consolidation-duplicate,"consolidated into Digital Jaw Surgery / CAS Technology (thinner content, not separately extracted)"
/جراحی-ناقرینگیهای-صورت-رویکردها-و-م,/knowledge/ناقرینگیهای-ناشی-از-تروما-به-صورت-عل,batch-2-consolidation-duplicate,consolidated into Facial Asymmetry Due to Trauma
/درمان-غیر-قرینگی-صورت-راهکارها،-نقش-اس,/knowledge/ناقرینگیهای-ناشی-از-تروما-به-صورت-عل,batch-2-consolidation-duplicate,consolidated into Facial Asymmetry Due to Trauma
/جراحی-بازسازی-نواقص-صورت-بازگرداندن,/knowledge/ناقرینگیهای-ناشی-از-تروما-به-صورت-عل,batch-2-consolidation-duplicate,consolidated into Facial Asymmetry Due to Trauma
/treatment-of-facial-asymmetry-solutions-the-role-of-nuclear-medicine-scans-and-the-appropriate-age-for-jaw-surgery,/en/knowledge/facial-asymmetry-due-to-trauma-causes-diagnosis-and-treatment,batch-2-consolidation-duplicate,EN duplicate -> EN translation route
/digital-technology-in-corrective-facial-asymmetry-surgery,/en/knowledge/facial-asymmetry-due-to-trauma-causes-diagnosis-and-treatment,batch-2-consolidation-duplicate,EN duplicate -> EN translation route
/lower-jaw-surgery-for-receding-jaw-improving-function-and-aesthetics,/en/knowledge/recessed-lower-jaw-causes-symptoms-and-treatment,batch-2-consolidation-duplicate,EN duplicate -> EN translation route
/comprehensive-guide-to-lower-jaw-surgery-everything-you-need-to-know,/en/knowledge/recessed-lower-jaw-causes-symptoms-and-treatment,batch-2-consolidation-duplicate,EN duplicate -> EN translation route
/جراحی-جلوآمدگی-فک-پایین,/knowledge/جراحی-جلوآمدگی-فک-پایین-2,batch-2-consolidation-duplicate,consolidated into Protruding Lower Jaw / Prognathism
/راهنمای-جامع-ایمپلنت-دندان-در-تبریز-2,/knowledge/راهنمای-جامع-ایمپلنت-دندان-در-تبریز,batch-2-consolidation-duplicate,consolidated into Comprehensive Dental Implant Guide in Tabriz
/بهترین-جراح-فک-در-تبریز-راهنمای-کامل-ا,/about,"why-choose-dr-sadighi (marketing, not clinical)","Approved: not migrated as Knowledge article; content recommended for /about or trust blocks, not implemented this task"
/چرا-دکتر-علیرضا-صدیقی-را-برای-جراحی-فک-ا,/about,"why-choose-dr-sadighi (marketing, not clinical)","Approved: not migrated as Knowledge article; content recommended for /about or trust blocks, not implemented this task"
/مزایای-جراحی-فک-و-معرفی-بهترین-جراح-فک،,/about,"why-choose-dr-sadighi (marketing, not clinical)","Approved: not migrated as Knowledge article; content recommended for /about or trust blocks, not implemented this task"
/why-choose-dr-alireza-sedighi-for-jaw-surgery-a-top-choice-for-precision-and-excellence,/services/orthognathic-surgery,"why-choose-dr-sadighi (marketing, not clinical)","Approved: not migrated as Knowledge article; content recommended for /about or trust blocks, not implemented this task"
/ایمپلنت-در-تهران,/services/advanced-dental-implant,implant-tehran-variant,Near-duplicate of Batch 1's Tabriz-specific installment-implant article; low relevance (clinic is Tabriz-based)
/ایمپلنت-اقساطی-در-تهران,/services/advanced-dental-implant,implant-tehran-variant,Near-duplicate of Batch 1's Tabriz-specific installment-implant article; low relevance (clinic is Tabriz-based)
/ایمپلنت-دندان-چیست,/services/advanced-dental-implant,implant-generic-explainer,Generic 'what is an implant' content fully covered by the advanced-dental-implant service page; no dedicated article needed
/ایمپلنت-دندان,/services/advanced-dental-implant,implant-generic-explainer,Generic 'what is an implant' content fully covered by the advanced-dental-implant service page; no dedicated article needed
/لمینت-دندان؛-راهکاری-نوین-در-ترمیم،-و-ز,(none — still 404 or needs-human-decision),general-dentistry (no matching service),Per this task's Decision 3: not migrated as standalone Knowledge article in Batch 2; kept pending — no orphan article without a service relation
/کامپوزیت-دندان؛-آشنایی-با-انواع،-مزای,(none — still 404 or needs-human-decision),general-dentistry (no matching service),Per this task's Decision 3: not migrated as standalone Knowledge article in Batch 2; kept pending — no orphan article without a service relation
/بلیچینگ-دندان؛-راهی-برای-داشتن-لبخندی,(none — still 404 or needs-human-decision),general-dentistry (no matching service),Per this task's Decision 3: not migrated as standalone Knowledge article in Batch 2; kept pending — no orphan article without a service relation
/پل-دندان-یا-بریج-دندان-چیست؟,(none — still 404 or needs-human-decision),general-dentistry (no matching service),Per this task's Decision 3: not migrated as standalone Knowledge article in Batch 2; kept pending — no orphan article without a service relation
/ماسک-دندان-چیست-و-چه-کاربردی-دارد؟,(none — still 404 or needs-human-decision),general-dentistry (no matching service),Per this task's Decision 3: not migrated as standalone Knowledge article in Batch 2; kept pending — no orphan article without a service relation
/دندان-قروچه,(none — still 404 or needs-human-decision),general-dentistry (no matching service),Per this task's Decision 3: not migrated as standalone Knowledge article in Batch 2; kept pending — no orphan article without a service relation
/خنده-لثهای؛-علل،-تشخیص-و-روشهای-درم,(none — still 404 or needs-human-decision),general-dentistry (no matching service),Per this task's Decision 3: not migrated as standalone Knowledge article in Batch 2; kept pending — no orphan article without a service relation
