old_url,title,topic_cluster,proposed_slug,proposed_path,content_quality,needs_rewrite,needs_media_import,has_aparat,related_service,seo_title_source,seo_description_source,manual_notes
https://dralirezasadighi.com/ایمپلنت-اقساطی-در-تبریز-با-دکتر-علیرضا/,ایمپلنت اقساطی در تبریز؛ راهی برای انجام درمان باکیفیت بدون فشار مالی,advanced-dental-implant,ایمپلنت-اقساطی-در-تبریز-با-دکتر-علیرضا,/fa/knowledge/ایمپلنت-اقساطی-در-تبریز-با-دکتر-علیرضا,strong,yes,yes,no,/fa/services/advanced-dental-implant,"rank_math_title (reuse, review for length)","rank_math_description (reuse, review for length)","WordPress thumbnail_id 14660 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import."
https://dralirezasadighi.com/جراحی-فک-نی-نی-سایت/,جراحی فک نی نی سایت؛ تجربه‌ای موفق با روش‌های دیجیتال دکتر علیرضا صدیقی,orthognathic-surgery,جراحی-فک-نی-نی-سایت,/fa/knowledge/جراحی-فک-نی-نی-سایت,strong,yes,yes,no,/fa/services/orthognathic-surgery,"rank_math_title (reuse, review for length)","rank_math_description (reuse, review for length)","WordPress thumbnail_id 14142 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import."
https://dralirezasadighi.com/جراحی-بینی-به-سبک-اروپایی-زیبایی-و-تقا/,جراحی بینی به سبک اروپایی : زیبایی و تقارن در اوج هنر پزشکی,rhinoplasty,جراحی-بینی-به-سبک-اروپایی-زیبایی-و-تقا,/fa/knowledge/جراحی-بینی-به-سبک-اروپایی-زیبایی-و-تقا,strong,yes,yes,no,/fa/services/rhinoplasty,none — author fresh seoTitle from H1/topic,none — author fresh seoDescription,"WordPress thumbnail_id 8692 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import. No Rank Math focus keyword recorded — confirm target keyword during rewrite."
https://dralirezasadighi.com/جراحی-دندان-عقل-با-بیهوشی-در-تبریز/,جراحی دندان عقل با بیهوشی در تبریز؛ تجربه‌ای بدون درد با دکتر علیرضا صدیقی,impacted-tooth-surgery,جراحی-دندان-عقل-با-بیهوشی-در-تبریز,/fa/knowledge/جراحی-دندان-عقل-با-بیهوشی-در-تبریز,strong,yes,yes,no,/fa/services/impacted-tooth-surgery,"rank_math_title (reuse, review for length)","rank_math_description (reuse, review for length)","WordPress thumbnail_id 14139 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import."
https://dralirezasadighi.com/فیزیوتراپی-بعد-از-جراحی-فک-راهنمای-کام/,فیزیوتراپی بعد از جراحی فک: راهنمای کامل برای بهبود حرکت و کاهش خشکی مفصل,orthognathic-surgery,فیزیوتراپی-بعد-از-جراحی-فک-راهنمای-کام,/fa/knowledge/فیزیوتراپی-بعد-از-جراحی-فک-راهنمای-کام,strong,yes,yes,no,/fa/services/orthognathic-surgery,"rank_math_title (reuse, review for length)","rank_math_description (reuse, review for length)","WordPress thumbnail_id 13532 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import."
https://dralirezasadighi.com/فیلم_جراحی_فک_در_اتاق_عمل/,فیلم جراحی فک در اتاق عمل: از مراحل درمان تا نتایج واقعی,orthognathic-surgery,فیلم_جراحی_فک_در_اتاق_عمل,/fa/knowledge/فیلم_جراحی_فک_در_اتاق_عمل,strong,yes,yes,no,/fa/services/orthognathic-surgery,"rank_math_title (reuse, review for length)","rank_math_description (reuse, review for length)","WordPress thumbnail_id 14034 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import."
https://dralirezasadighi.com/25-سوال-متداول-در-مورد-جراحی-لیفت-ابرو-و-ش/,25 سوال متداول در مورد جراحی لیفت ابرو و شقیقه,facial-cosmetic-surgery,25-سوال-متداول-در-مورد-جراحی-لیفت-ابرو-و-ش,/fa/knowledge/25-سوال-متداول-در-مورد-جراحی-لیفت-ابرو-و-ش,strong,yes,yes,no,/fa/services/facial-cosmetic-surgery,none — author fresh seoTitle from H1/topic,none — author fresh seoDescription,"WordPress thumbnail_id 8595 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import. No Rank Math focus keyword recorded — confirm target keyword during rewrite."
https://dralirezasadighi.com/بهترین-متخصص-ایمپلنت-تبریز-و-معرفی-دکت/,بهترین متخصص ایمپلنت تبریز و معرفی دکتر علیرضا صدیقی,advanced-dental-implant,بهترین-متخصص-ایمپلنت-تبریز-و-معرفی-دکت,/fa/knowledge/بهترین-متخصص-ایمپلنت-تبریز-و-معرفی-دکت,strong,yes,yes,no,/fa/services/advanced-dental-implant,none — author fresh seoTitle from H1/topic,none — author fresh seoDescription,"WordPress thumbnail_id 8352 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import. No Rank Math focus keyword recorded — confirm target keyword during rewrite."
https://dralirezasadighi.com/ایمپلنت-فوری-در-تبریز/,ایمپلنت فوری در تبریز: کاشت دندان در یک روز با تکنولوژی پیشرفته در کلینیک دکتر صدیقی,advanced-dental-implant,ایمپلنت-فوری-در-تبریز,/fa/knowledge/ایمپلنت-فوری-در-تبریز,strong,yes,yes,no,/fa/services/advanced-dental-implant,"rank_math_title (reuse, review for length)","rank_math_description (reuse, review for length)","WordPress thumbnail_id 14135 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import."
https://dralirezasadighi.com/ریلپس-یا-بازگشت-پس-از-عمل-جراحی-فک-با-تا/,ریلپس یا بازگشت پس از عمل جراحی فک با تاکید بر پوزیشنینگ قطعه پروکسیمال مندیبل و آزادسازی عضلات,orthognathic-surgery,ریلپس-یا-بازگشت-پس-از-عمل-جراحی-فک-با-تا,/fa/knowledge/ریلپس-یا-بازگشت-پس-از-عمل-جراحی-فک-با-تا,strong,yes,yes (no source image — must be sourced fresh),no,/fa/services/orthognathic-surgery,none — author fresh seoTitle from H1/topic,none — author fresh seoDescription,No WordPress featured image on record — a new heroImage must be sourced/commissioned. No Rank Math focus keyword recorded — confirm target keyword during rewrite.
https://dralirezasadighi.com/25-سوال-متداول-در-مورد-جراحی-دندان-عقل-نه/,25 سوال متداول در مورد جراحی دندان عقل نهفته,impacted-tooth-surgery,25-سوال-متداول-در-مورد-جراحی-دندان-عقل-نه,/fa/knowledge/25-سوال-متداول-در-مورد-جراحی-دندان-عقل-نه,strong,yes,yes,no,/fa/services/impacted-tooth-surgery,none — author fresh seoTitle from H1/topic,none — author fresh seoDescription,"WordPress thumbnail_id 8461 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import. No Rank Math focus keyword recorded — confirm target keyword during rewrite."
https://dralirezasadighi.com/لیفت-شقیقه-گلایدینگ/,لیفت شقیقه گلایدینگ؛ روش کم‌تهاجمی برای جوانسازی اطراف چشم و شقیقه,facial-cosmetic-surgery,لیفت-شقیقه-گلایدینگ,/fa/knowledge/لیفت-شقیقه-گلایدینگ,strong,yes,yes,no,/fa/services/facial-cosmetic-surgery,"rank_math_title (reuse, review for length)","rank_math_description (reuse, review for length)","WordPress thumbnail_id 14649 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import."
https://dralirezasadighi.com/european-nose-job/,عمل بینی اروپایی چیست و برای چه چهره‌هایی مناسب است؟,rhinoplasty,european-nose-job,/fa/knowledge/european-nose-job,strong,yes,yes,no,/fa/services/rhinoplasty,"rank_math_title (reuse, review for length)","rank_math_description (reuse, review for length)","WordPress thumbnail_id 14783 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import."
https://dralirezasadighi.com/25-سوال-متداول-در-مورد-تزریق-فیلر-به-ناحی/,25 سوال متداول در مورد تزریق فیلر به ناحیه صورت,facial-cosmetic-surgery,25-سوال-متداول-در-مورد-تزریق-فیلر-به-ناحی,/fa/knowledge/25-سوال-متداول-در-مورد-تزریق-فیلر-به-ناحی,strong,yes,yes,no,/fa/services/facial-cosmetic-surgery,none — author fresh seoTitle from H1/topic,none — author fresh seoDescription,"WordPress thumbnail_id 8585 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import. No Rank Math focus keyword recorded — confirm target keyword during rewrite."
https://dralirezasadighi.com/تفاوت-کشیدن-دندان-و-جراحی-دندان-عقل/,تفاوت کشیدن دندان و جراحی دندان عقل | بررسی کامل و علمی,impacted-tooth-surgery,تفاوت-کشیدن-دندان-و-جراحی-دندان-عقل,/fa/knowledge/تفاوت-کشیدن-دندان-و-جراحی-دندان-عقل,strong,yes,yes,no,/fa/services/impacted-tooth-surgery,"rank_math_title (reuse, review for length)","rank_math_description (reuse, review for length)","WordPress thumbnail_id 14127 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import."
https://dralirezasadighi.com/25-سوال-متداول-در-مورد-جراحی-چانه-و-زاویه/,26 سوال متداول در مورد جراحی چانه و زاویه‌سازی فک,orthognathic-surgery,25-سوال-متداول-در-مورد-جراحی-چانه-و-زاویه,/fa/knowledge/25-سوال-متداول-در-مورد-جراحی-چانه-و-زاویه,strong,yes,yes,no,/fa/services/orthognathic-surgery,none — author fresh seoTitle from H1/topic,none — author fresh seoDescription,"WordPress thumbnail_id 8460 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import. No Rank Math focus keyword recorded — confirm target keyword during rewrite."
https://dralirezasadighi.com/فیزیوتراپی-بعد-از-جراحی-فک/,فیزیوتراپی بعد از جراحی فک: چرا ضروری است و چه مزایایی دارد؟,orthognathic-surgery,فیزیوتراپی-بعد-از-جراحی-فک,/fa/knowledge/فیزیوتراپی-بعد-از-جراحی-فک,strong,yes,yes,no,/fa/services/orthognathic-surgery,"rank_math_title (reuse, review for length)","rank_math_description (reuse, review for length)","WordPress thumbnail_id 14561 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import."
https://dralirezasadighi.com/لیفت-ابرو-و-شقیقه/,لیفت ابرو و شقیقه,facial-cosmetic-surgery,لیفت-ابرو-و-شقیقه,/fa/knowledge/لیفت-ابرو-و-شقیقه,strong,yes,yes (no source image — must be sourced fresh),no,/fa/services/facial-cosmetic-surgery,none — author fresh seoTitle from H1/topic,none — author fresh seoDescription,No WordPress featured image on record — a new heroImage must be sourced/commissioned. No Rank Math focus keyword recorded — confirm target keyword during rewrite.
https://dralirezasadighi.com/جراحی-فک-پایین-عقب-رفته/,جراحی فک پایین عقب رفته: بهبودی و نتایج بلندمدت,orthognathic-surgery,جراحی-فک-پایین-عقب-رفته,/fa/knowledge/جراحی-فک-پایین-عقب-رفته,strong,yes,yes,no,/fa/services/orthognathic-surgery,"rank_math_title (reuse, review for length)","rank_math_description (reuse, review for length)","WordPress thumbnail_id 13977 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import."
https://dralirezasadighi.com/جراحی-فک-پایین-جلو-آمده/,راهنمای جامع جراحی فک پایین جلو آمده: هر آنچه باید بدانید,orthognathic-surgery,جراحی-فک-پایین-جلو-آمده,/fa/knowledge/جراحی-فک-پایین-جلو-آمده,strong,yes,yes,no,/fa/services/orthognathic-surgery,"rank_math_title (reuse, review for length)","rank_math_description (reuse, review for length)","WordPress thumbnail_id 13950 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import."
https://dralirezasadighi.com/ایمپلنت-دندان-در-تبریز-پرسش-پاسخ/,ایمپلنت دندان در تبریز؛ پرسش‌های پرتکرار بیماران و پاسخ‌های تخصصی دکتر علیرضا صدیقی,advanced-dental-implant,ایمپلنت-دندان-در-تبریز-پرسش-پاسخ,/fa/knowledge/ایمپلنت-دندان-در-تبریز-پرسش-پاسخ,strong,yes,yes,no,/fa/services/advanced-dental-implant,"rank_math_title (reuse, review for length)","rank_math_description (reuse, review for length)","WordPress thumbnail_id 14605 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import."
https://dralirezasadighi.com/ایمپلنت-اشترومن-در-تبریز/,ایمپلنت اشترومن در تبریز,advanced-dental-implant,ایمپلنت-اشترومن-در-تبریز,/fa/knowledge/ایمپلنت-اشترومن-در-تبریز,strong,yes,yes,no,/fa/services/advanced-dental-implant,none — author fresh seoTitle from H1/topic,none — author fresh seoDescription,"WordPress thumbnail_id 8559 exists but the WXR export carries only attachment metadata, not the file — the actual image must be fetched from the live site (or the original media library) before import. No Rank Math focus keyword recorded — confirm target keyword during rewrite."
