current_url,title,clicks,impressions,ctr,position,topic_cluster,current_content_quality,recommended_action,proposed_next_url,redirect_required,reason_for_p0_launch,manual_review_required,notes
https://dralirezasadighi.com/,دکتر علیرضا صدیقی,8073,50464,0.16,6.34,uncategorized,strong,keep-same-url,/fa,no,"Current homepage — becomes the new homepage; the existing locale middleware already redirects bare `/` to `/fa`, no custom redirect rule needed. High click volume (8073 clicks) — real organic traffic at risk of loss if this 404s.",no,Traffic present but topic unclear from title/categories/slug — classify manually before deciding redirect target.
https://dralirezasadighi.com/ایمپلنت-اقساطی-در-تبریز-با-دکتر-علیرضا/,ایمپلنت اقساطی در تبریز؛ راهی برای انجام درمان باکیفیت بدون فشار مالی,2753,17354,0.1586,11.96,advanced-dental-implant,strong,migrate-to-knowledge-center,/fa/knowledge/ایمپلنت-اقساطی-در-تبریز-با-دکتر-علیرضا,yes,High click volume (2753 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (advanced-dental-implant); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/advanced-dental-implant.
https://dralirezasadighi.com/جراحی-فک-نی-نی-سایت/,جراحی فک نی نی سایت؛ تجربه‌ای موفق با روش‌های دیجیتال دکتر علیرضا صدیقی,1599,57539,0.0278,6.95,orthognathic-surgery,strong,migrate-to-knowledge-center,/fa/knowledge/جراحی-فک-نی-نی-سایت,yes,High click volume (1599 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (orthognathic-surgery); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/orthognathic-surgery.
https://dralirezasadighi.com/جراحی-بینی-به-سبک-اروپایی-زیبایی-و-تقا/,جراحی بینی به سبک اروپایی : زیبایی و تقارن در اوج هنر پزشکی,530,12515,0.0423,2.63,rhinoplasty,strong,migrate-to-knowledge-center,/fa/knowledge/جراحی-بینی-به-سبک-اروپایی-زیبایی-و-تقا,yes,High click volume (530 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (rhinoplasty); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/rhinoplasty.
https://dralirezasadighi.com/جراحی-دندان-عقل-با-بیهوشی-در-تبریز/,جراحی دندان عقل با بیهوشی در تبریز؛ تجربه‌ای بدون درد با دکتر علیرضا صدیقی,424,7182,0.059,7.4,impacted-tooth-surgery,strong,migrate-to-knowledge-center,/fa/knowledge/جراحی-دندان-عقل-با-بیهوشی-در-تبریز,yes,High click volume (424 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (impacted-tooth-surgery); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/impacted-tooth-surgery.
https://dralirezasadighi.com/فیزیوتراپی-بعد-از-جراحی-فک-راهنمای-کام/,فیزیوتراپی بعد از جراحی فک: راهنمای کامل برای بهبود حرکت و کاهش خشکی مفصل,396,5087,0.0778,13.08,orthognathic-surgery,strong,migrate-to-knowledge-center,/fa/knowledge/فیزیوتراپی-بعد-از-جراحی-فک-راهنمای-کام,yes,High click volume (396 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (orthognathic-surgery); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/orthognathic-surgery.
https://dralirezasadighi.com/فیلم_جراحی_فک_در_اتاق_عمل/,فیلم جراحی فک در اتاق عمل: از مراحل درمان تا نتایج واقعی,371,15849,0.0234,4.24,orthognathic-surgery,strong,migrate-to-knowledge-center,/fa/knowledge/فیلم_جراحی_فک_در_اتاق_عمل,yes,High click volume (371 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (orthognathic-surgery); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/orthognathic-surgery.
https://dralirezasadighi.com/25-سوال-متداول-در-مورد-جراحی-لیفت-ابرو-و-ش/,25 سوال متداول در مورد جراحی لیفت ابرو و شقیقه,368,13789,0.0267,14.88,facial-cosmetic-surgery,strong,migrate-to-knowledge-center,/fa/knowledge/25-سوال-متداول-در-مورد-جراحی-لیفت-ابرو-و-ش,yes,High click volume (368 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (facial-cosmetic-surgery); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/facial-cosmetic-surgery.
https://dralirezasadighi.com/بهترین-متخصص-ایمپلنت-تبریز-و-معرفی-دکت/,بهترین متخصص ایمپلنت تبریز و معرفی دکتر علیرضا صدیقی,286,19515,0.0147,11.35,advanced-dental-implant,strong,migrate-to-knowledge-center,/fa/knowledge/بهترین-متخصص-ایمپلنت-تبریز-و-معرفی-دکت,yes,High click volume (286 clicks) — real organic traffic at risk of loss if this 404s.,no,Substantial standalone article on core topic (advanced-dental-implant); migrate into Knowledge Center as its own article and redirect old URL to it; cross-link from /fa/services/advanced-dental-implant.
https://dralirezasadighi.com/contact/,تماس با ما,204,20589,0.0099,5.8,clinic-info,strong,redirect-to-home-or-about,/fa/contact,yes,"Structural page (about/contact) — must resolve cleanly at launch regardless of traffic volume, patients and referral links depend on it. High click volume (204 clicks) — real organic traffic at risk of loss if this 404s.",no,Clinic/contact-info content — consolidate into Contact or About; confirm which manually.
