cluster,status,consolidation_target,legacy_path,clicks,impressions,title
digital_jaw_surgery_cas,implemented-batch-2,/knowledge/جراحی-فک-دیجیتال,/جراحی-فک-دیجیتال,20,339,جراحی فک دیجیتال: تحول نوین در دقت و نتایج جراحی‌های فک و صورت
digital_jaw_surgery_cas,implemented-batch-2,/knowledge/جراحی-فک-دیجیتال,/جراحی-دیجیتال-فک,41,385,جراحی دیجیتال فک
digital_jaw_surgery_cas,implemented-batch-2,/knowledge/جراحی-فک-دیجیتال,/جراحی-فک-به-روش-دیجیتال,5,226,جراحی فک به روش دیجیتال
digital_jaw_surgery_cas,implemented-batch-2,/knowledge/جراحی-فک-دیجیتال,/cas-چیست-و-کاربرد-های-آن,57,2972,CAS چیست و کاربرد های آن
facial_asymmetry_trauma,implemented-batch-2,/knowledge/ناقرینگیهای-ناشی-از-تروما-به-صورت-عل,/ناقرینگیهای-ناشی-از-تروما-به-صورت-عل,46,1808,ناقرینگی‌های ناشی از تروما به صورت: علل، تشخیص و درمان
facial_asymmetry_trauma,implemented-batch-2,/knowledge/ناقرینگیهای-ناشی-از-تروما-به-صورت-عل,/جراحی-ناقرینگیهای-صورت-رویکردها-و-م,25,1930,جراحی ناقرینگی‌های صورت: رویکردها و مزایا
facial_asymmetry_trauma,implemented-batch-2,/knowledge/ناقرینگیهای-ناشی-از-تروما-به-صورت-عل,/درمان-غیر-قرینگی-صورت-راهکارها،-نقش-اس,12,139,درمان غیر قرینگی صورت: راهکارها، نقش اسکن طب هسته‌ای و زمان مناسب برای جراحی فک
facial_asymmetry_trauma,implemented-batch-2,/knowledge/ناقرینگیهای-ناشی-از-تروما-به-صورت-عل,/جراحی-بازسازی-نواقص-صورت-بازگرداندن,0,0,جراحی بازسازی نواقص صورت: بازگرداندن زیبایی، عملکرد و اعتماد به نفس
facial_asymmetry_trauma,implemented-batch-2,/knowledge/ناقرینگیهای-ناشی-از-تروما-به-صورت-عل,/facial-asymmetry-due-to-trauma-causes-diagnosis-and-treatment,26,2180,"Facial Asymmetry Due to Trauma: Causes, Diagnosis, and Treatment"
facial_asymmetry_trauma,implemented-batch-2,/knowledge/ناقرینگیهای-ناشی-از-تروما-به-صورت-عل,/treatment-of-facial-asymmetry-solutions-the-role-of-nuclear-medicine-scans-and-the-appropriate-age-for-jaw-surgery,1,17,"Treatment of Facial Asymmetry: Solutions, the Role of Nuclear Medicine Scans, and the Appropriate Age for Jaw Surgery"
facial_asymmetry_trauma,implemented-batch-2,/knowledge/ناقرینگیهای-ناشی-از-تروما-به-صورت-عل,/digital-technology-in-corrective-facial-asymmetry-surgery,0,47,Digital Technology in Corrective Facial Asymmetry Surgery
recessed_lower_jaw,implemented-batch-2,/knowledge/فک-پایین-عقبرفته,/فک-پایین-عقبرفته,9,796,فک پایین عقب‌رفته چیست؟ دلایل، علائم و اهمیت درمان آن
recessed_lower_jaw,implemented-batch-2,/knowledge/فک-پایین-عقبرفته,/recessed-lower-jaw-causes-symptoms-and-treatment,9,9983,"Recessed Lower Jaw: Causes, Symptoms, and Treatment"
recessed_lower_jaw,implemented-batch-2,/knowledge/فک-پایین-عقبرفته,/lower-jaw-surgery-for-receding-jaw-improving-function-and-aesthetics,0,363,Lower Jaw Surgery for Receding Jaw: Improving Function and Aesthetics
recessed_lower_jaw,implemented-batch-2,/knowledge/فک-پایین-عقبرفته,/comprehensive-guide-to-lower-jaw-surgery-everything-you-need-to-know,0,90,Comprehensive Guide to Lower Jaw Surgery: Everything You Need to Know
protruding_lower_jaw,implemented-batch-2,/knowledge/جراحی-جلوآمدگی-فک-پایین-2,/جراحی-جلوآمدگی-فک-پایین-2,14,1362,جراحی جلوآمدگی فک پایین | درمان جلو بودن فک پایین و اصلاح ناهنجاری فک + عکس قبل و بعد
protruding_lower_jaw,implemented-batch-2,/knowledge/جراحی-جلوآمدگی-فک-پایین-2,/جراحی-جلوآمدگی-فک-پایین,0,0,روش‌های نوین جراحی برای اصلاح جلوآمدگی فک پایین: ترکیب زیبایی و عملکرد
implant_guide_tabriz,implemented-batch-2,/knowledge/راهنمای-جامع-ایمپلنت-دندان-در-تبریز,/راهنمای-جامع-ایمپلنت-دندان-در-تبریز,50,234,راهنمای جامع ایمپلنت دندان در تبریز
implant_guide_tabriz,implemented-batch-2,/knowledge/راهنمای-جامع-ایمپلنت-دندان-در-تبریز,/راهنمای-جامع-ایمپلنت-دندان-در-تبریز-2,7,332,راهنمای جامع ایمپلنت دندان در تبریز | معرفی متخصصین، هزینه‌ها و خدمات فوری و اقساطی
implant_tehran_variants,pending-redirect-only,/knowledge/ایمپلنت-اقساطی-در-تبریز-با-دکتر-علیرضا (existing Batch 1 article),/ایمپلنت-در-تهران,1,125,ایمپلنت در تهران از نگاه بیماران؛ مقایسه واقعی بین مراکز درمانی معتبر
implant_tehran_variants,pending-redirect-only,/knowledge/ایمپلنت-اقساطی-در-تبریز-با-دکتر-علیرضا (existing Batch 1 article),/ایمپلنت-اقساطی-در-تهران,1,1603,ایمپلنت اقساطی در تهران برای همه؛ از دغدغه مالی تا لبخند سالم در کنار بهترین متخصصین
digital_implant_explainer,pending-batch-3,(not yet built — candidate for a future 'Digital Implant Technology' article),/ایمپلنت-دیجیتال,1,163,ایمپلنت دیجیتال: تحولی نوین در دندان‌پزشکی مدرن
digital_implant_explainer,pending-batch-3,(not yet built — candidate for a future 'Digital Implant Technology' article),/ایمپلنت-سوئیسی-دیجیتالی,2,237,ایمپلنت سوئیسی دیجیتالی؛ بهترین روش جایگزینی دندان از دست رفته | دکتر صدیقی
digital_implant_explainer,pending-batch-3,(not yet built — candidate for a future 'Digital Implant Technology' article),/ایمپلنت-ساب-پریوستئال-دیجیتال,3,115,ایمپلنت ساب پریوستئال دیجیتال
digital_implant_explainer,pending-batch-3,(not yet built — candidate for a future 'Digital Implant Technology' article),/توضیحاتی-در-مورد-ایمپلنت-دیجیتال,0,8,توضیحاتی در مورد ایمپلنت دیجیتال
implant_generic_what_is,pending-redirect-only,"/services/advanced-dental-implant (generic service page, no dedicated article needed)",/ایمپلنت-دندان-چیست,0,721,ایمپلنت دندان چیست و چگونه عمل می‌کند؟
implant_generic_what_is,pending-redirect-only,"/services/advanced-dental-implant (generic service page, no dedicated article needed)",/ایمپلنت-دندان,0,0,ایمپلنت دندان چیست و چرا بهترین گزینه است؟
wisdom_tooth_cluster,pending-batch-3,(existing Batch 1 تفاوت-کشیدن-دندان-و-جراحی-دندان-عقل is the closest match; other posts still need individual review),/جراحی-دندان-عقل-در-تهران-و-تبریز-چرا-ان,2,62,جراحی دندان عقل در تهران و تبریز: چرا انتخاب کلینیک دکتر علیرضا صدیقی بهترین گزینه است؟
