url,clicks,impressions,ctr,position,likely_type,recommended_action,proposed_next_url,notes
https://dralirezasadighi.com/tag/متخصص-دندان-تبریز/,383,551,0.6951,15.21,tag,needs-manual-review,,WordPress tag archive with no clear single-topic match — pick a redirect target manually (or accept as a 404 if traffic is trivial).
https://dralirezasadighi.com/tag/جراحی-ایمپلنت-تبریز/,308,328,0.939,8.19,tag,redirect-to-service-page,/fa/services/advanced-dental-implant,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (advanced-dental-implant).
http://www.dralirezasadighi.com/,72,50582,0.0014,5.52,homepage,redirect-to-home-or-about,/fa,Host/protocol variant of the homepage (www and/or http) tracked as a separate Search Console URL — canonicalize with a 301 to the https apex + /fa.
https://dralirezasadighi.com/tag/دکتر-علیرضا-صدیقی/,46,332,0.1386,29.12,tag,redirect-to-home-or-about,/fa/about,WordPress tag archive about the doctor/clinic brand — redirect to About.
https://dralirezasadighi.com/tag/لیفت-شقیقه-در-تبریز/,41,1443,0.0284,9.26,tag,redirect-to-service-page,/fa/services/facial-cosmetic-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (facial-cosmetic-surgery).
https://dralirezasadighi.com/لیفت-شقیقه-گلایدینگ؛-جوانسازی-طبیعی-ب/,25,450,0.0556,7.06,unknown,redirect-to-knowledge-article,/fa/knowledge/لیفت-شقیقه-گلایدینگ,"Looks like a historical/renamed permalink for the already-migrated post ""لیفت شقیقه گلایدینگ؛ روش کم‌تهاجمی برای جوانسازی اطراف چشم و شقیقه"" (https://dralirezasadighi.com/لیفت-شقیقه-گلایدینگ/) — redirect straight to that post's new URL instead of treating as new content."
https://dralirezasadighi.com/tag/جراحی-فک-نی-نی-سایت/,23,721,0.0319,7.55,tag,redirect-to-service-page,/fa/services/orthognathic-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (orthognathic-surgery).
https://dralirezasadighi.com/tag/ایمپلنت-تضمینی-در-تبریز/,18,679,0.0265,15.39,tag,redirect-to-service-page,/fa/services/advanced-dental-implant,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (advanced-dental-implant).
https://dralirezasadighi.com/blog/جراحی-دندان/ایمپلنت/,17,530,0.0321,29.68,category,redirect-to-service-page,/fa/services/advanced-dental-implant,WordPress blog/category archive; redirect to the closest matching service page.
https://dralirezasadighi.com/blog/جراحی-زیبایی/,12,312,0.0385,18.99,category,redirect-to-service-page,/fa/services/facial-cosmetic-surgery,WordPress blog/category archive; redirect to the closest matching service page.
https://dralirezasadighi.com/مراحل-جراحی-فک-در-اتاق-عمل-از-برنامهر/,11,359,0.0306,3.17,unknown,needs-manual-review,,"No confident automatic match — likely an old/renamed slug, an FAQ/utility page, or orphaned content. Needs manual look before deciding."
https://dralirezasadighi.com/جراحی-چانه،-پروتز-چانه،-فیلر-و-جینیوپل/,10,633,0.0158,25.02,unknown,needs-manual-review,,"No confident automatic match — likely an old/renamed slug, an FAQ/utility page, or orphaned content. Needs manual look before deciding."
https://dralirezasadighi.com/tag/فیلم-جراحی-فک-در-اتاق-عمل/,10,575,0.0174,7.12,tag,redirect-to-service-page,/fa/services/orthognathic-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (orthognathic-surgery).
https://dralirezasadighi.com/tag/جراحی-فک-نی-نی-سایت؛-تجربهای-موفق-با-ر/,10,185,0.0541,7.45,tag,redirect-to-service-page,/fa/services/orthognathic-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (orthognathic-surgery).
https://dralirezasadighi.com/tag/جراحی-فک/,6,331,0.0181,36.06,tag,redirect-to-service-page,/fa/services/orthognathic-surgery,WordPress tag archive; no tag-archive equivalent on the new site — redirect to the closest service page (orthognathic-surgery).
https://dralirezasadighi.com/tag/دکتر-علیرضا-صدیقی،-روشهای-دیجیتال-جر/,6,310,0.0194,50.27,tag,redirect-to-home-or-about,/fa/about,WordPress tag archive about the doctor/clinic brand — redirect to About.
