type,status,post_id,title,current_url,slug,post_date,modified_date,content_length,has_content,has_elementor_content,has_aparat,thumbnail_id,categories,tags,rank_math_title,rank_math_description,rank_math_robots,rank_math_focus_keyword,comments_count
post,publish,6252,انواع روش های افزایش حجم گونه,https://dralirezasadighi.com/elementor-6252/,elementor-6252,2023-03-25 00:12:36,2023-03-25 00:17:01,337,True,True,True,6256,پروتز گونه|تزریق چربی|جراحی زیبایی|ژل و بوتاکس,افزایش حجم گونه|انواع روش های افزایش حجم گونه|پروتز گونه|تزریق چربی,,,index,,0
post,publish,6263,ایمپلنت ساب پریوستئال دیجیتال,https://dralirezasadighi.com/ایمپلنت-ساب-پریوستئال-دیجیتال/,ایمپلنت-ساب-پریوستئال-دیجیتال,2023-03-28 18:12:30,2024-08-01 17:28:36,138,True,True,True,6264,ایمپلنت دیجیتال|دسته بندی نشده,ایمپلنت|ایمپلنت ساب پریوستئال|ایمپلنت ساب پریوستئال دیجیتال|دکتر علیرضا صدیقی,,,index,,0
post,publish,6420,توضیحاتی در مورد ایمپلنت دیجیتال,https://dralirezasadighi.com/توضیحاتی-در-مورد-ایمپلنت-دیجیتال/,توضیحاتی-در-مورد-ایمپلنت-دیجیتال,2023-04-04 21:34:28,2024-08-01 17:28:25,0,False,True,True,6422,ایمپلنت دیجیتال|دسته بندی نشده,ایمپلنت|توضیحاتی در مورد ایمپلنت دیجیتال,,,index,,2
post,publish,6427,جراحی فک به روش دیجیتال,https://dralirezasadighi.com/جراحی-فک-به-روش-دیجیتال/,جراحی-فک-به-روش-دیجیتال,2023-04-04 21:36:13,2024-08-01 17:36:42,0,False,True,True,6421,جراحی چانه|جراحی فک,جراحی فک|جراحی فک به روش دیجیتال,,,index,,0
post,publish,6433,انواع روش های جراحی چانه,https://dralirezasadighi.com/انواع-روش-های-جراحی-چانه/,انواع-روش-های-جراحی-چانه,2023-04-07 15:40:32,2023-04-07 15:41:22,235,True,True,True,6434,جراحی چانه|جراحی فک,,,,index,,0
post,draft,6511,نحوه استراحت بعد از جراحی پلک,https://dralirezasadighi.com/?p=6511,,2023-04-27 14:14:35,2023-04-27 14:15:50,539,True,False,False,,دسته بندی نشده,,,,index,,0
post,publish,6518,استفاده از تکنولوژی دیجیتال در جراحی فک,https://dralirezasadighi.com/استفاده-از-تکنولوژی-دیجیتال-در-جراحی-ف/,استفاده-از-تکنولوژی-دیجیتال-در-جراحی-ف,2023-04-27 14:37:43,2024-08-01 17:36:45,0,False,True,True,6519,جراحی فک,استفاده از تکنولوژی دیجیتال در جراحی فک|تکنولوژی دیجیتال جراحی فک|جراحی فک,,,index,,0
post,publish,6544,رینوپلاستی بینی گوشتی,https://dralirezasadighi.com/رینوپلاستی-بینی-گوشتی/,رینوپلاستی-بینی-گوشتی,2023-05-05 22:58:31,2023-05-05 23:32:10,0,False,True,True,6545,جراحی زیبایی|جراحی زیبایی بینی,بینی فانتزی|بینی گوشتی|رینوپلاستی بینی گوشتی|زیبایی بینی,,,index,,0
post,publish,7168,بلفاروپلاستی,https://dralirezasadighi.com/بلفاروپلاستی/,بلفاروپلاستی,2023-12-21 20:26:27,2023-12-21 20:29:22,9137,True,False,False,7093,خدمات,,,,index,,0
post,publish,7555,رینوپلاستی چیست؟,https://dralirezasadighi.com/رینوپلاستی-چیست؟/,رینوپلاستی-چیست؟,2023-12-23 16:14:46,2023-12-23 16:26:24,3093,True,False,False,7565,مقالات,,,,index,,0
post,publish,7571,آشنایی با انواع عمل جراحی زیبایی صورت,https://dralirezasadighi.com/آشنایی-با-انواع-عمل-جراحی-زیبایی-صورت/,آشنایی-با-انواع-عمل-جراحی-زیبایی-صورت,2023-12-23 16:28:34,2024-04-15 10:11:01,6897,True,False,False,7572,مقالات,,,,index,,0
post,publish,7575,شکاف لب و کام چیست؟,https://dralirezasadighi.com/شکاف-لب-و-کام-چیست؟/,شکاف-لب-و-کام-چیست؟,2023-12-23 16:32:46,2023-12-23 16:34:55,3259,True,False,False,7577,مقالات,,,,index,,0
post,publish,7833,مراقبت های قبل و بعد از جراحی بینی,https://dralirezasadighi.com/مراقبت-بینی/,مراقبت-بینی,2024-03-18 08:36:05,2024-03-18 09:19:08,1028,True,False,False,,دسته بندی نشده,,,,index,,0
post,publish,7847,نگاهی به انواع جراحی دندان و آشنایی با مراقبت های بعد از آن,https://dralirezasadighi.com/نگاهی-به-انواع-جراحی-دندان-و-آشنایی-با-م/,نگاهی-به-انواع-جراحی-دندان-و-آشنایی-با-م,2024-04-03 00:11:09,2024-04-04 01:53:27,7716,True,True,False,,دسته بندی نشده,,,,index,,0
post,publish,7909,مراقبت های جراحی ایمپلنت,https://dralirezasadighi.com/مراقبت-های-جراحی-ایمپلنت/,مراقبت-های-جراحی-ایمپلنت,2024-04-03 23:52:33,2024-08-29 17:48:11,4968,True,True,False,,دسته بندی نشده,ایمپلنت|مراقبت های جراحی ایمپلنت,,,index,,0
post,publish,7929,ارتودنسی دندان + همه چیز درباره آن,https://dralirezasadighi.com/elementor-7929/,elementor-7929,2024-04-04 00:47:19,2024-04-04 00:54:24,7078,True,True,False,,دسته بندی نشده,,,,index,,0
post,publish,7931,مراقبت جراحی رینوپلاستی (بینی),https://dralirezasadighi.com/مراقبت-جراحی-بینی/,مراقبت-جراحی-بینی,2024-04-04 00:55:59,2024-08-28 21:33:49,2848,True,True,False,8207,دسته بندی نشده,,,,index,,0
post,publish,7950,مراقبت جراحی بلفاروپلاستی (ابرو),https://dralirezasadighi.com/مراقبت-جراحی-بلفاروپلاستی-ابرو/,مراقبت-جراحی-بلفاروپلاستی-ابرو,2024-04-04 01:18:15,2024-04-04 01:21:25,2663,True,True,False,,دسته بندی نشده,,,,index,,0
post,publish,7957,مراقبت جراحی فک,https://dralirezasadighi.com/مراقبت-جراحی-فک/,مراقبت-جراحی-فک,2024-04-04 01:24:25,2024-08-29 17:53:00,4918,True,True,False,8193,دسته بندی نشده,جراحی فک,,,index,,0
post,publish,7958,بلیچینگ دندان؛ راهی برای داشتن لبخندی درخشان‌تر,https://dralirezasadighi.com/بلیچینگ-دندان؛-راهی-برای-داشتن-لبخندی/,بلیچینگ-دندان؛-راهی-برای-داشتن-لبخندی,2024-04-04 01:32:24,2024-04-04 01:32:53,9322,True,True,False,,دسته بندی نشده,,,,index,,0
post,publish,7965,پل دندان یا بریج دندان چیست؟,https://dralirezasadighi.com/پل-دندان-یا-بریج-دندان-چیست؟/,پل-دندان-یا-بریج-دندان-چیست؟,2024-04-04 01:35:55,2024-04-04 01:39:03,8760,True,True,False,,دسته بندی نشده,,,,index,,0
post,publish,7984,درمان ریشه و عصب کشی چه تفاوتی دارند؟,https://dralirezasadighi.com/درمان-ریشه-و-عصب-کشی-چه-تفاوتی-دارند؟/,درمان-ریشه-و-عصب-کشی-چه-تفاوتی-دارند؟,2024-04-04 01:54:00,2024-04-04 01:57:56,6666,True,True,False,,دسته بندی نشده,,,,index,,0
