article_title,current_new_path,legacy_url,topic_cluster,related_service,review_status,needs_medical_update,needs_seo_update,notes_for_doctor_review
25 سوال متداول در مورد تزریق فیلر به ناحیه صورت,/fa/knowledge/25-سوال-متداول-در-مورد-تزریق-فیلر-به-ناحی,https://dralirezasadighi.com/25-سوال-متداول-در-مورد-تزریق-فیلر-به-ناحی/,facial-cosmetic-surgery,/fa/services/facial-cosmetic-surgery,needs-doctor-review,unknown — pending doctor review,no,No verified hero image (mediaStatus=missing) — renders the no-image editorial state; a real photo could be added later.
25 سوال متداول در مورد جراحی تزریق چربی,/fa/knowledge/25-سوال-متداول-در-مورد-جراحی-تزریق-چربی,https://dralirezasadighi.com/25-سوال-متداول-در-مورد-جراحی-تزریق-چربی/,care-instructions,,needs-doctor-review,unknown — pending doctor review,no,"No verified hero image (mediaStatus=missing) — renders the no-image editorial state; a real photo could be added later. fat-injection FAQ collision — Persian only, English post_id 13413 excluded from phase 1"
25 سوال متداول در مورد جراحی دندان عقل نهفته,/fa/knowledge/25-سوال-متداول-در-مورد-جراحی-دندان-عقل-نه,https://dralirezasadighi.com/25-سوال-متداول-در-مورد-جراحی-دندان-عقل-نه/,impacted-tooth-surgery,/fa/services/impacted-tooth-surgery,needs-doctor-review,unknown — pending doctor review,no,No verified hero image (mediaStatus=missing) — renders the no-image editorial state; a real photo could be added later.
 25 سوال متداول در مورد جراحی زیبایی بینی,/fa/knowledge/25-سوال-متداول-در-مورد-جراحی-زیبایی-بین,https://dralirezasadighi.com/25-سوال-متداول-در-مورد-جراحی-زیبایی-بین/,rhinoplasty,/fa/services/rhinoplasty,needs-doctor-review,unknown — pending doctor review,yes,No verified hero image (mediaStatus=missing) — renders the no-image editorial state; a real photo could be added later.
25 سوال متداول در مورد جراحی لیفت ابرو و شقیقه,/fa/knowledge/25-سوال-متداول-در-مورد-جراحی-لیفت-ابرو-و-ش,https://dralirezasadighi.com/25-سوال-متداول-در-مورد-جراحی-لیفت-ابرو-و-ش/,facial-cosmetic-surgery,/fa/services/facial-cosmetic-surgery,needs-doctor-review,unknown — pending doctor review,no,No verified hero image (mediaStatus=missing) — renders the no-image editorial state; a real photo could be added later.
26 سوال متداول در مورد جراحی چانه و زاویه‌سازی فک,/fa/knowledge/25-سوال-متداول-در-مورد-جراحی-چانه-و-زاویه,https://dralirezasadighi.com/25-سوال-متداول-در-مورد-جراحی-چانه-و-زاویه/,orthognathic-surgery,/fa/services/orthognathic-surgery,needs-doctor-review,unknown — pending doctor review,no,No verified hero image (mediaStatus=missing) — renders the no-image editorial state; a real photo could be added later.
عمل بینی اروپایی چیست و برای چه چهره‌هایی مناسب است؟,/fa/knowledge/european-nose-job,https://dralirezasadighi.com/european-nose-job/,rhinoplasty,/fa/services/rhinoplasty,needs-doctor-review,unknown — pending doctor review,no,No verified hero image (mediaStatus=missing) — renders the no-image editorial state; a real photo could be added later.
ایمپلنت اشترومن در تبریز,/fa/knowledge/ایمپلنت-اشترومن-در-تبریز,https://dralirezasadighi.com/ایمپلنت-اشترومن-در-تبریز/,advanced-dental-implant,/fa/services/advanced-dental-implant,needs-doctor-review,unknown — pending doctor review,no,No verified hero image (mediaStatus=missing) — renders the no-image editorial state; a real photo could be added later.
ایمپلنت اقساطی در تبریز؛ راهی برای انجام درمان باکیفیت بدون فشار مالی,/fa/knowledge/ایمپلنت-اقساطی-در-تبریز-با-دکتر-علیرضا,https://dralirezasadighi.com/ایمپلنت-اقساطی-در-تبریز-با-دکتر-علیرضا/,advanced-dental-implant,/fa/services/advanced-dental-implant,needs-doctor-review,unknown — pending doctor review,no,No verified hero image (mediaStatus=missing) — renders the no-image editorial state; a real photo could be added later.
ایمپلنت دندان در تبریز؛ پرسش‌های پرتکرار بیماران و پاسخ‌های تخصصی دکتر علیرضا صدیقی,/fa/knowledge/ایمپلنت-دندان-در-تبریز-پرسش-پاسخ,https://dralirezasadighi.com/ایمپلنت-دندان-در-تبریز-پرسش-پاسخ/,advanced-dental-implant,/fa/services/advanced-dental-implant,needs-doctor-review,unknown — pending doctor review,no,No verified hero image (mediaStatus=missing) — renders the no-image editorial state; a real photo could be added later.
ایمپلنت فوری در تبریز: کاشت دندان در یک روز با تکنولوژی پیشرفته در کلینیک دکتر صدیقی,/fa/knowledge/ایمپلنت-فوری-در-تبریز,https://dralirezasadighi.com/ایمپلنت-فوری-در-تبریز/,advanced-dental-implant,/fa/services/advanced-dental-implant,needs-doctor-review,unknown — pending doctor review,no,No verified hero image (mediaStatus=missing) — renders the no-image editorial state; a real photo could be added later.
بلفاروپلاستی,/fa/knowledge/بلفاروپلاستی,https://dralirezasadighi.com/بلفاروپلاستی/,blepharoplasty,/fa/services/facial-cosmetic-surgery,needs-doctor-review,unknown — pending doctor review,no,No verified hero image (mediaStatus=missing) — renders the no-image editorial state; a real photo could be added later.
بهترین متخصص ایمپلنت تبریز و معرفی دکتر علیرضا صدیقی,/fa/knowledge/بهترین-متخصص-ایمپلنت-تبریز-و-معرفی-دکت,https://dralirezasadighi.com/بهترین-متخصص-ایمپلنت-تبریز-و-معرفی-دکت/,advanced-dental-implant,/fa/services/advanced-dental-implant,needs-doctor-review,unknown — pending doctor review,no,No verified hero image (mediaStatus=missing) — renders the no-image editorial state; a real photo could be added later.
تفاوت کشیدن دندان و جراحی دندان عقل | بررسی کامل و علمی,/fa/knowledge/تفاوت-کشیدن-دندان-و-جراحی-دندان-عقل,https://dralirezasadighi.com/تفاوت-کشیدن-دندان-و-جراحی-دندان-عقل/,impacted-tooth-surgery,/fa/services/impacted-tooth-surgery,needs-doctor-review,unknown — pending doctor review,no,No verified hero image (mediaStatus=missing) — renders the no-image editorial state; a real photo could be added later.
جراحی بینی به سبک اروپایی : زیبایی و تقارن در اوج هنر پزشکی,/fa/knowledge/جراحی-بینی-به-سبک-اروپایی-زیبایی-و-تقا,https://dralirezasadighi.com/جراحی-بینی-به-سبک-اروپایی-زیبایی-و-تقا/,rhinoplasty,/fa/services/rhinoplasty,needs-doctor-review,unknown — pending doctor review,no,No verified hero image (mediaStatus=missing) — renders the no-image editorial state; a real photo could be added later.
